TRT,REP,ENV,DTH,GFD,PHT,TNS,TGW,KA,KW,KL,KC,KLW,KPS,GWS
14,1,GH22,40,38,60,16.25,34.65648855,14.37640828,3.289913694,5.946127085,1.324873994,1.820802221,32.75,1.135
14,2,GH22,45,43,72,19.5,43.63636364,16.14791744,3.558447076,6.167443309,1.293833451,1.745331978,41.25,1.8
14,3,GH22,42,47,71,17.25,50.3164557,18.4245472,3.785793137,6.57083506,1.291690997,1.745565522,39.5,1.9875
14,1,FL22,35,23,,,,,,,,,,
14,2,FL22,38,24,,,,,,,,,,
14,1,GH23,38,33,91,20,43.82899628,16.62987276,3.61975047,6.282899887,1.295485396,1.743948516,67.25,2.9475
14,2,GH23,42,40,96,20.25,40.31746032,15.800341,3.49695718,6.231840425,1.314987556,1.791755696,47.25,1.905
14,1,FL23,38,40,66,15.875,32.72486772,14.20612038,3.18978602,6.19129758,1.364855186,1.942957756,47.25,1.54625
14,2,FL23,36,40,72.66666667,16.125,32.71186441,14.31566088,3.136295979,6.085292686,1.424623285,2.024456055,36.875,1.20625
15,1,GH22,43,43,75,16.25,46.76470588,16.96901902,3.628430721,6.323596997,1.287448293,1.749344045,25.5,1.1925
15,2,GH22,39,37,66,16.75,46.63865546,17.41401555,3.668088229,6.450275351,1.296585493,1.77114375,29.75,1.3875
15,3,GH22,39,45,80,16,55.58139535,20.33248852,3.783710098,7.246901727,1.358478984,1.922696561,43,2.39
15,1,FL22,34,27,,,,,,,,,,
15,2,FL22,35,25,,,,,,,,,,
15,1,GH23,38,29,83,16,49.27536232,18.38520438,3.677748395,6.73923461,1.315424062,1.839365083,34.5,1.7
15,2,GH23,38,37,74,16,50,18.64086636,3.688425894,6.843987139,1.326953674,1.862555584,35.5,1.775
15,1,FL23,33,37,76.33333333,,34.48275862,14.73007414,3.205842049,6.3512811,1.380623508,2.011640335,32.625,1.125
15,2,FL23,33,34,75.66666667,13.375,32.76527331,15.10838294,3.154779252,6.391806823,1.420841524,2.054844569,38.875,1.27375
16,1,GH22,44,39,65,15.5,39.58333333,15.90440677,3.383206121,6.523498168,1.376118933,1.936339444,24,0.95
16,2,GH22,42,33,77,18.25,37.04918033,16.71616441,3.424786062,6.728272845,1.39125081,1.9790823,30.5,1.13
16,3,GH22,43,51,89,17,40.51282051,16.76443125,3.404213805,6.8256346,1.396801055,2.012850653,19.5,0.79
16,1,FL22,35,26,,,,,,,,,,
16,2,FL22,36,27,,,,,,,,,,
16,1,GH23,37,35,95,16.5,37.5,15.94632397,3.293311821,6.679713946,1.413365829,2.035392571,34,1.275
16,2,GH23,41,45,100,17.25,46.25,18.59594924,3.486793669,7.293418169,1.439586448,2.145060374,28,1.295
16,1,FL23,34,34,93,14.375,36.61585366,15.76576911,3.22901804,6.625863225,1.475006602,2.174862481,41,1.50125
16,2,FL23,35,33,82,13.75,36.04651163,16.18872183,3.220137301,6.852069119,1.41809859,2.069884259,43,1.55
17,1,GH22,54,38,70,17.5,46.35658915,17.01046723,3.580177972,6.384197198,1.29162739,1.790499549,32.25,0.8775
17,2,GH22,53,38,81,21.75,51.74863388,18.97137804,3.786095142,6.848869175,1.308827579,1.819343101,45.75,1.98
17,3,GH22,52,41,66,21.75,50.10204082,18.92181366,3.729096851,6.961040494,1.330620277,1.876155447,49,1.99
17,1,FL22,47,34,,,,,,,,,,
17,2,FL22,46,35,,,,,,,,,,
17,1,GH23,49,30,80,20.75,27.33944954,14.17507126,3.387732736,5.788271267,1.336599903,1.734838639,27.25,1.535
